,Func 1,Func 2,Func 3,Func 4,Func 5,Func 6,Func 7,Func 8,Func 9,Func 10
22,-0.0015303147610075236,-0.001491886833786389,-0.001446609665090276,-0.0014033002924459536,-0.0013337406004584151,-0.0012529755591422138,-0.0011815898800802568,-0.0011492791994922656,-0.0011182444363905105,-0.0011015302704740445
23,-0.0015665062147713323,-0.0015267624043059974,-0.0014799530122287738,-0.0014351968692307105,-0.0013633532650888867,-0.0012800002158851248,-0.0012063867122751272,-0.0011730867615599545,-0.0011411133103552816,-0.0011238983566453627
24,-0.0016039496534307606,-0.0015628316289608669,-0.0015144228022467999,-0.001468157157917447,-0.0013939321411320553,-0.0013078830231360453,-0.001231950905179182,-0.001197622077652916,-0.0011646727808739077,-0.0011469373901620093
25,-0.001642701077055212,-0.0016001473972340977,-0.0015500683711692908,-0.0015022272097805175,-0.0014255182411503566,-0.0013366595145958167,-0.0012583134865026095,-0.0012229142406606768,-0.0011889501440742935,-0.0011706737245731104
26,-0.001682819493789367,-0.0016387654180282387,-0.0015869416601097918,-0.0015374554843499684,-0.0014581546868436671,-0.0013663670124564424,-0.0012855070131623544,-0.0012489937627587567,-0.0012139740142029566,-0.0011951349788333863
27,-0.0017243671030581188,-0.0016787443906228433,-0.0016250973722813263,-0.001573892993605588,-0.0014918868337865051,-0.0013970447314758496,-0.0013135656587740202,-0.001275892655966174,-0.001239774397778154,-0.001220350108134054
28,-0.0017674094907224355,-0.0017201461867369016,-0.0016645931402008499,-0.001611593455542909,-0.0015267624043059417,-0.0014287338897318314,-0.0013425253067167375,-0.0013036445177579097,-0.0012663827724075664,-0.0012463494791818152
29,-0.0018120158368526965,-0.0017630360444480903,-0.0017054897037968087,-0.0016506134577273482,-0.001562831628960993,-0.001461477826563755,-0.001372423649162884,-0.0013322846221487535,-0.0012938321705815972,-0.0012731649502468793
30,-0.0018582591369439186,-0.0018074827746870732,-0.001747851100098942,-0.0016910126315338061,-0.0016001473972339917,-0.001495322128110254,-0.0014033002924451765,-0.0013618500165788448,-0.0013221572688074772,-0.001300829956254654
31,-0.0019062164373596546,-0.0018535589810467182,-0.0017917448652280895,-0.0017328538376745915,-0.0016387654180279303,-0.0015303147610077757,-0.0014351968692302942,-0.0013923796250236175,-0.001351394482425569,-0.001329379599297812
32,-0.0019559690858470466,-0.0019013412937894732,-0.0018372422494710291,-0.001776203363806675,-0.001678744390622804,-0.0015665062147714299,-0.0014681571579205305,-0.001423914357728876,-0.0013815820664913854,-0.0013588507449464274
33,-0.0020076029979679854,-0.0019509106188021579,-0.0018844184462241836,-0.0018211311349443867,-0.0017201461867368058,-0.0016039496534303653,-0.0015022272097794493,-0.0014564972280351049,-0.001412760223138275,-0.0013892821246930995
34,-0.002061208940294444,-0.002002352402403857,-0.001933352835610313,-0.0018677109374514833,-0.001763036044448066,-0.0016427010770573417,-0.001537455484350182,-0.0014901734767426996,-0.0014449712158763621,-0.0014207144450222096
35,-0.002116882831259557,-0.0020557569128279995,-0.001984129243654538,-0.0019160206574314678,-0.0018074827746869643,-0.0016828194937902297,-0.0015738929936061025,-0.001524990704551633,-0.0014782594912515726,-0.0014531905034966775
36,-0.0021747260604985013,-0.0021112195392585433,-0.0020368362178160224,-0.001966142534356822,-0.0018535589810468357,-0.0017243671030570955,-0.00161159345554203,-0.001560999013111909,-0.0015126718084051548,-0.0014867553123437153
