,latitude,longitude,car_park_no,cluster
1554,1.303590995633725,103.85084575933833,SR1,11
1555,1.3031633398197322,103.85107669980185,SR2,11
1556,1.2928501910006627,103.80993984128175,STAM,3
1557,1.2902642774663728,103.80319271421484,STM1,3
1558,1.2898290995549135,103.80370237466185,STM2,3
1559,1.2898270512586238,103.8033264959866,STM3,3
1560,1.3968683411312508,103.881715032245,S100,7
1561,1.3969722799644955,103.87941966679219,S101,7
1562,1.3892739738021467,103.90760011419309,S102,21
1563,1.3963388421285428,103.89528722452624,S103,24
1564,1.3902443442059242,103.89305178725341,S104,7
1565,1.3897226991117952,103.8944574348316,S105,7
1566,1.3814023960148882,103.8900791730176,S106,7
1567,1.3991578704764291,103.88970473952185,S107,24
1568,1.3980764550818106,103.89694953065957,S108,24
1569,1.391571986830565,103.8798987349062,S109,7
1570,1.3933026077126274,103.88662111892198,S110,7
1571,1.3918147456311092,103.8712438790037,S111,7
1572,1.3924906225860834,103.86972452623449,S112,7
1573,1.3931035636363926,103.8856565539907,S113,7
1574,1.3941981523992562,103.86970600306404,S114,7
1575,1.3883249512276241,103.87121820760913,S116,7
1576,1.3943101239551081,103.88702095718163,S13L,7
1577,1.393568156444722,103.88428733664804,S14L,7
1578,1.4513660567718123,103.82091139683449,S19L,0
1579,1.4531611101920539,103.8237047130531,S24L,0
1580,1.4548200839405943,103.8167550426611,S28L,0
1581,1.3945617002088786,103.89483022537868,S30L,24
1582,1.447837709907731,103.83362049901474,S36L,0
1583,1.4455889552961991,103.83282740751302,S38L,0
1584,1.3739074487299365,103.87175191509498,S39L,18
1585,1.446517923907347,103.82973204035765,S40L,0
1586,1.4446854197624044,103.83025714496692,S43L,0
1587,1.4430178445444928,103.83103336006101,S45A,0
1588,1.4433715562556602,103.83171671151023,S45L,0
1589,1.448145006456636,103.82934299684881,S47L,0
1590,1.392068698044541,103.87687587467751,S69A,7
1591,1.355179876416701,103.94595187637917,TAM1,5
1592,1.360293334389214,103.95315510409588,TAM2,5
1593,1.277544772322185,103.82112429824346,TBCM,6
1594,1.2757430581846363,103.82068963521877,TBC2,6
1595,1.2790442396857193,103.8175781692421,TBC3,3
1596,1.2773607628817047,103.8100471507127,TBK,3
1597,1.2764807593689043,103.80676130700182,TBL,3
1598,1.2717912859952192,103.81066870217572,TBM,3
1599,1.2737962540502121,103.80690132190541,TBMT,3
1600,1.2753043651293587,103.80922332015449,TBM2,3
1601,1.2733743359112941,103.80897284613786,TBM3,3
1602,1.2772968603551003,103.80776708675565,TBM4,3
1603,1.274998507079263,103.8117515396651,TBM5,3
1604,1.27333300146065,103.81111137475256,TBM6,3
1605,1.2762661203482861,103.81083577381318,TBM7,3
1606,1.2772069380595075,103.8072808650482,TBM8,3
1607,1.274784117407762,103.80719141319831,TBM9,3
1608,1.2784436505669539,103.81857405338022,TB1,3
1609,1.272406389504725,103.8232073879553,TB10,6
1610,1.2706126262273696,103.82353547243741,TB11,6
1611,1.2818252116961137,103.80734533801882,TB14,3
1612,1.274814857226147,103.81301980698007,TB17,3
1613,1.2765122720178543,103.80981167433967,TB18,3
1614,1.2746646911948152,103.80871041296733,TB19,3
1615,1.277605691154847,103.81934329580649,TB2,3
1616,1.273911368539902,103.8075810262176,TB22,3
1617,1.281342169104228,103.81521890869666,TB23,3
1618,1.2819237415341909,103.81171659158535,TB27,3
1619,1.2720250401511541,103.80911204099385,TB28,3
1620,1.273135617253316,103.80698427155029,TB29,3
1621,1.276839182859871,103.81946766823697,TB3,3
1622,1.2776343854674224,103.8224402252545,TB4A,6
1623,1.2739507972210307,103.82215128778117,TB6,6
1624,1.2734514848823009,103.82139918679424,TB7,6
1625,1.2726440475687442,103.820754852551,TB8,6
1626,1.2732889977607464,103.82223343925538,TB9,6
1627,1.2813137150572276,103.82645402589318,TE1,6
1628,1.2832266599714905,103.8305745567535,TE13,6
1629,1.2769805823717495,103.82885466487458,TE14,6
1630,1.2799822967820182,103.8250799734771,TE2,6
1631,1.2829905284723702,103.83158438729406,TE21,6
1632,1.2834306517182228,103.83258282577599,TE22,6
1633,1.2842590600348192,103.83352601524115,TE23,6
1634,1.2843450233069789,103.83010916150751,TE24,6
1635,1.2773716640930237,103.83078772296413,TE25,6
1636,1.2852865683978083,103.83085215573304,TE26,6
1637,1.283665894606537,103.83155028187858,TE27,6
1638,1.2826212098586078,103.83264485484851,TE28,6
1639,1.2820927498333108,103.83131204800384,TE29,6
1640,1.2797413916490035,103.82614156083415,TE3,6
1641,1.2828840851961176,103.83019652469024,TE30,6
1642,1.278369639755716,103.82784357064948,TE4,6
1643,1.2838768066709862,103.83297237300414,TE9,6
1644,1.3217496873149626,103.73934148022114,TGML,9
1645,1.3211726817146217,103.73891401431416,TGM1,9
1646,1.3221450186133532,103.73829445496793,TGM2,9
1647,1.323261328455711,103.73932836739313,TGM3,9
1648,1.322522221646899,103.73725175304064,TGM4,9
1649,1.3233129928646263,103.7376345093951,TG1,9
1650,1.32157429694808,103.7376019001642,TG2,9
1651,1.3206349930588046,103.73897739773945,TG3,9
1652,1.3218251384145028,103.741092696946,TG6,9
1653,1.3201453629777036,103.74229100005509,TG7,9
1654,1.2982031224521287,103.79789417922284,THM,14
1655,1.3342106478373381,103.72152435155063,TJ1K,12
1656,1.3318481945093816,103.72246220687303,TJ18,12
1657,1.3271974323386024,103.72106615550815,TJ27,12
1658,1.3371197566812698,103.72045887880435,TJ28,12
1659,1.3281427792350193,103.72230234256962,TJ29,12
1660,1.3301014238029596,103.72223918558402,TJ30,12
1661,1.3385945699313244,103.72287016767285,TJ31,12
1662,1.3400495011789735,103.72018296671978,TJ32,12
1663,1.337109414406709,103.72324981677069,TJ33,12
1664,1.334020235539566,103.72454031143974,TJ34,12
1665,1.332900638736559,103.72248400459583,TJ35,12
1666,1.3362078554823698,103.72452979381964,TJ36,12
1667,1.3382825338635973,103.72252831122361,TJ37,12
1668,1.3323135685345087,103.72177968691923,TJ38,12
1669,1.3279067611579443,103.7233238770191,TJ39,12
1670,1.3303922793325875,103.72149803520969,TJ40,12
1671,1.326821061387296,103.72339760723634,TJ41,12
1672,1.327225464370421,103.72234935625218,TJ42,12
1673,1.3533536463794174,103.96025509665785,TM10,5
1674,1.3544003715798585,103.9585245233876,TM11,5
1675,1.3558304340730032,103.95721552075251,TM12,5
1676,1.3563570937883112,103.95910066578033,TM13,5
1677,1.3491501505382808,103.93057172796932,TM14,22
1678,1.3577306247732577,103.95222370166888,TM15,5
1679,1.3557548071635077,103.95023113290024,TM16,5
1680,1.351213154891125,103.9379870586498,TM17,22
1681,1.3523979713180423,103.93803491918668,TM18,22
1682,1.3573426549157683,103.95934486358404,TM19,5
1683,1.3581427179881114,103.9610214920974,TM20,5
1684,1.3514133266988884,103.96047384946188,TM21,5
1685,1.352264486560788,103.96282948823168,TM22,5
1686,1.3546614860304713,103.96218106175438,TM23,5
1687,1.3554179483948305,103.96144236093939,TM24,5
1688,1.3587147470147338,103.95849513834342,TM25,5
1689,1.359826679786971,103.95962522398658,TM26,5
1690,1.36065300511494,103.9598884790276,TM27,5
1691,1.362833734951973,103.95687967842403,TM28,10
1692,1.3606853861366743,103.95910880324689,TM29,5
1693,1.3612627825031405,103.95056497201216,TM3,5
